Iteration	Nodes
0	112
0	489
1	563
2	563
3	563
4	563
5	563
6	568
7	568
8	568
9	568
10	590
11	590
12	590
13	590
14	1280
15	1280
16	1280
17	1280
18	1280
19	1280
20	1280
21	1280
22	3148
23	3148
24	3148
25	3148
26	3138
27	3138
28	3138
29	3138
30	3115
31	3115
32	8764
33	8750
34	8750
35	8750
36	8750
37	8750
38	8733
39	8733
40	8733
41	8733
42	8716
43	8716
44	8716
45	8716
46	11553
47	11553
48	11553
49	11553
50	11553
51	11553
52	11553
53	11553
54	17779
55	17779
56	17779
57	17779
58	17773
59	17773
60	17773
61	17773
62	17194
63	17194
64	47008
65	47003
66	47003
67	47003
68	47003
69	47003
70	44643
71	44643
72	44643
73	44643
74	44643
75	44643
76	44643
77	44643
78	49040
79	49040
80	49040
81	49040
82	49040
83	49040
84	49040
85	49040
86	49579
87	49579
88	49579
89	49579
90	49573
91	49573
92	49573
93	49573
94	48866
95	48866
96	73912
97	73915
98	73915
99	73915
100	73915
101	73915
102	61882
103	61882
104	61882
105	61882
106	61882
107	61882
108	61882
109	61882
110	63654
111	63654
112	63654
113	63654
114	63654
115	63654
116	63654
117	63654
118	63710
119	63710
120	63710
121	63710
122	63704
123	63704
124	63704
125	63704
126	62660
127	62660
128	74334
129	74337
130	74337
131	74337
132	74337
133	74337
134	60737
135	60737
136	60737
137	60737
138	60737
139	60737
140	60737
141	60737
142	60964
143	60964
144	60964
145	60964
146	60964
147	60964
148	60964
149	60964
150	61027
151	61027
152	61027
153	61027
154	61027
155	61027
156	61027
157	61027
158	61027
159	61027
160	59672
161	59671
162	59671
163	59671
164	59671
165	59671
166	54371
167	54371
168	54371
169	54371
170	54371
171	54371
172	54371
173	54371
174	54371
175	54371
176	54371
177	54371
178	54371
179	54371
180	54371
181	54371
182	54371
183	54371
184	54371
185	54371
186	54367
187	54367
188	54367
189	54367
190	54367
191	54367
192	52787
193	52787
194	52787
195	52787
196	52787
197	52787
198	52113
199	52113
200	52113
201	52113
202	52113
203	52113
204	52113
205	52113
206	52113
207	52113
208	52113
209	52113
210	52113
211	52113
212	52113
213	52113
214	52113
215	52113
216	52113
217	52113
218	52113
219	52113
220	52113
221	52113
222	52113
223	52113
224	50915
225	50915
226	50915
227	50915
228	50915
229	50915
230	50915
231	50915
232	50915
233	50915
234	50915
235	50915
236	50915
237	50915
238	50915
239	50915
240	50915
241	50915
242	50915
243	50915
244	50915
245	50915
246	50915
247	50915
248	50915
249	50915
250	50915
251	50915
252	50915
253	50915
254	50915
255	50915
256	48094
257	48094
258	48094
259	48094
260	48094
261	48094
262	48094
263	48094
264	48094
265	48094
266	48094
267	48094
268	48094
269	48094
270	48094
271	48094
272	48094
273	48094
274	48094
275	48094
276	48094
277	48094
278	48094
279	48094
280	48094
281	48094
282	48094
283	48094
284	48094
285	48094
286	48094
287	48094
288	43623
289	43623
290	43623
291	43623
292	43623
293	43623
294	43623
295	43623
296	43623
297	43623
298	43623
299	43623
300	43623
301	43623
302	43623
303	43623
304	43623
305	43623
306	43623
307	43623
308	43623
309	43623
310	43623
311	43623
312	43623
313	43623
314	43623
315	43623
316	43623
317	43623
318	43623
319	43623
320	37989
321	37989
322	37989
323	37989
324	37989
325	37989
326	37989
327	37989
328	37989
329	37989
330	37989
331	37989
332	37989
333	37989
334	37989
335	37989
336	37989
337	37989
338	37989
339	37989
340	37989
341	37989
342	37989
343	37989
344	37989
345	37989
346	37989
347	37989
348	37989
349	37989
350	37989
351	37989
352	32220
353	32220
354	32220
355	32220
356	32220
357	32220
358	32220
359	32220
360	32220
361	32220
362	32220
363	32220
364	32220
365	32220
366	32220
367	32220
368	32220
369	32220
370	32220
371	32220
372	32220
373	32220
374	32220
375	32220
376	32220
377	32220
378	32220
379	32220
380	32220
381	32220
382	32220
383	32220
384	26678
385	26678
386	26678
387	26678
388	26678
389	26678
390	26678
391	26678
392	26678
393	26678
394	26678
395	26678
396	26678
397	26678
398	26678
399	26678
400	26678
401	26678
402	26678
403	26678
404	26678
405	26678
406	26678
407	26678
408	26678
409	26678
410	26678
411	26678
412	26678
413	26678
414	26678
415	26678
416	22908
417	22908
418	22908
419	22908
420	22908
421	22908
422	22908
423	22908
424	22908
425	22908
426	22908
427	22908
428	22908
429	22908
430	22908
431	22908
432	22908
433	22908
434	22908
435	22908
436	22908
437	22908
438	22908
439	22908
440	22908
441	22908
442	22908
443	22908
444	22908
445	22908
446	22908
447	22908
448	20364
449	20364
450	20364
451	20364
452	20364
453	20364
454	20364
455	20364
456	20364
457	20364
458	20364
459	20364
460	20364
461	20364
462	20364
463	20364
464	20364
465	20364
466	20364
467	20364
468	20364
469	20364
470	20364
471	20364
472	20364
473	20364
474	20364
475	20364
476	20364
477	20364
478	20364
479	20364
480	19279
481	19279
482	19279
483	19279
484	19279
485	19279
486	19279
487	19279
488	19279
489	19279
490	19279
491	19279
492	19279
493	19279
494	19279
495	19279
496	19279
497	19279
498	19279
499	19279
500	19279
501	19279
502	19279
503	19279
504	19279
505	19279
506	19279
507	19279
508	19279
509	19279
510	19279
511	19279
512	18847
513	18847
514	18847
515	18847
516	18847
517	18847
518	18847
519	18847
520	18847
521	18847
522	18847
523	18847
524	18847
525	18847
526	18847
527	18847
528	18847
529	18847
530	18847
531	18847
532	18847
533	18847
534	18847
535	18847
536	18847
537	18847
538	18847
539	18847
540	18847
541	18847
542	18847
543	18847
544	18773
545	18773
546	18773
547	18773
548	18773
549	18773
550	18773
551	18773
552	18773
553	18773
554	18773
555	18773
556	18773
557	18773
558	18773
559	18773
560	18773
